left_chain,left_ext_id,left_name,left_brand,left_size_text,right_chain,right_ext_id,right_name,right_brand,right_size_text,match_reason,match_score
Barbora,https-barbora-ee-toode-kaerajook-oatly-suhkruvaba-1-l,"Kaerajook OATLY suhkruvaba, 1L",OATLY,,Selver,7394376621017,Oatly suhkruvaba kaerajook 1L,Oatly,1 L,strong,1.0
Barbora,000000000000990014,"Ananass, kg",,,Selver,2701876000009,"Ananass, kg",Määramata,,strong,1.0
Barbora,000000000000025059,Multinektar AURA 1L,AURA,,Selver,4740051004317,Aura multinektar 1L,Aura,1 L,strong,1.0
Barbora,https-barbora-ee-toode-granaatounajook-aura-1-l,Granaatõunajook AURA 1L,AURA,,Selver,4740098072188,Aura granaatõunajook 1L,Aura,,strong,1.0
Barbora,https-barbora-ee-toode-kuuslauk-kg,"Küüslauk, kg",,,Selver,2703010000005,"Küüslauk, kg",Määramata,,strong,1.0
Barbora,https-barbora-ee-toode-kohupiim-alma-4-proc-200-g,"Kohupiim ALMA 4%, 200g",ALMA,,Selver,4740125638523,Alma kohupiim 4% 200g,Alma,200 g,strong,1.0
Barbora,https-barbora-ee-toode-taispiim-alma-3-8-4-2-proc-1-5-l,"Täispiim ALMA 3,8-4,2%, 1,5L",ALMA,,Selver,4740125120226,"Alma Täispiim 3,8-4,2%, 1,5l",Alma Täispiim,1.5 l,strong,1.0
Barbora,https-barbora-ee-toode-ribitukid-punases-marinaadis-rakvere-kg,"Ribitükid punases marinaadis RAKVERE, kg",RAKVERE,,Selver,2313546900009,"Rakvere Ribitükid Punases Marinaadis, Kg",Rakvere Ribitükid,,strong,1.0
Barbora,https-barbora-ee-toode-ploominektar-poltsamaa-1-l,Ploominektar PÕLTSAMAA 1L,PÕLTSAMAA,,Selver,4740029055099,Põltsamaa ploominektar 1L,Põltsamaa,1 L,strong,1.0
Barbora,https-barbora-ee-toode-pesto-basiilik-tartu-mill-190-g,Pesto basiilik TARTU MILL 190g,TARTU MILL,,Selver,28075,Tartu mill pesto basiilik 190g,Tartu,190 g,strong,1.0
Barbora,https-barbora-ee-toode-sea-saslokk-armeenia-grill-kg,"Sea šašlõkk Armeenia grill, kg",ARMEENIA GRILL,,Selver,2323100600009,"Sea šašlõkk, ARMEENIA GRILL, kg",Sea,,strong,1.0
Barbora,https-barbora-ee-toode-taisterasepik-eesti-pagar-500-g,"Täisterasepik EESTI PAGAR, 500 g",EESTI PAGAR,,Selver,4740086016071,Eesti Pagar Täisterasepik 500 G,Eesti Pagar,,strong,1.0
Barbora,https-barbora-ee-toode-hele-olu-premium-4-7-proc-500-ml-a-le-coq,Hele õlu PREMIUM 4.7% 500ml A.Le Coq,A. LE COQ,,Selver,4740098076490,"A. Le Coq Premium hele õlu 4,7%vol 500ml",A. Le,,strong,0.8571
Barbora,https-barbora-ee-toode-sulatatud-juust-valio-forte-juustu-185-g,"Sulatatud juust VALIO Forte juustu,185g",VALIO,,Selver,4740553692661,Valio sulatatud juust Forte juustu 185g,Valio,185 g,strong,1.0
Barbora,https-barbora-ee-toode-hernesupikogu-rakvere-800-g,"Hernesupikogu RAKVERE, 800g",RAKVERE,,Selver,4740003013732,Rakvere Hernesupikogu 800G,Rakvere Hernesupikogu,800 g,strong,1.0
Barbora,000000000000181173,"Baklažaan,kg",,,Selver,2700032000006,"Baklažaan, kg",Määramata,,strong,1.0
Barbora,000000000000180902,"Juurseller, kg",,,Selver,2700072000004,"Juurseller, kg",Määramata,,strong,1.0
Barbora,https-barbora-ee-toode-johvikajook-poltsamaa-1-l,Jõhvikajook PÕLTSAMAA 1L,PÕLTSAMAA,,Selver,4740029051084,Põltsamaa jõhvikajook 1L,Põltsamaa,,strong,1.0
Barbora,417419,"Ploomtomat karbis, 500g",,,Selver,4740669030098,"Ploomtomat karbis, 500g",Määramata,,strong,1.0
Barbora,000000000000025057,Apelsinimahl AURA 1L,AURA,,Selver,4740051004270,Aura apelsinimahl 1L,Aura,,strong,1.0
Barbora,https-barbora-ee-toode-kohupiimapannkoogid-mamma-200-g,"Kohupiimapannkoogid MAMMA, 200g",MAMMA,,Selver,4740184602305,Mamma Kohupiimapannkoogid 200G,Mamma Kohupiimapannkoogid,200 g,strong,1.0
Barbora,https-barbora-ee-toode-kgt-vein-codici-primitivo-puglia-750-ml,KGT vein CODICI Primitivo Puglia 750ml,CODICI,,Selver,8055684024813,"Codici Primitivo Puglia KGT vein 13,5%vol 750ml",Codici Primitivo,,strong,0.8571
Barbora,22038,"Sinihallitusjuust ROYAL BLUE, 100g",ROYAL BLUE,,Selver,4740572006227,Royal Blue sinihallitusjuust 100g,Royal Blue,100 g,strong,1.0
Barbora,https-barbora-ee-toode-kaerasepik-fazer-d-vitamiiniga-350-g,Kaerasepik FAZER D-vitamiiniga 350g,FAZER,,Selver,4740103012369,"Kaerasepik D-vitamiiniga, FAZER, 350g",Määramata,,strong,1.0
Barbora,https-barbora-ee-toode-vurtsikilud-balti-briis-400-g,"Vürtsikilud Balti BRIIS, 400g",BRIIS,,Selver,4742312000724,Briis Balti Vürtsikilud 400G,Briis Balti,400 g,strong,1.0
Barbora,000000000000180946,"Hiina kapsas, kg",,,Selver,2700029000002,"Hiina kapsas, kg",Määramata,,strong,1.0
Barbora,000000000000038287,Cognac HENNESSY VS 40% 350ml,HENNESSY,,Selver,3245990250302,Hennessy VS Cognac 350ml,Hennessy VS,,strong,1.0
Barbora,https-barbora-ee-toode-majonees-tarplan-provansaal-50-proc-900-g,"Majonees TARPLAN Provansaal 50%, 900g",TARPLAN,,Selver,4740159000082,"Tarplan Majonees Provansaal, 900g",Tarplan Majonees,900 g,strong,1.0
Barbora,https-barbora-ee-toode-kanapihvid-tallegg-320-g,"Kanapihvid TALLEGG, 320g",TALLEGG,,Selver,4740046004070,Tallegg Kanapihvid 320G,Tallegg Kanapihvid,320 g,strong,1.0
Barbora,https-barbora-ee-toode-kohuke-tere-vanilli-multipakk-7-x-40-g,"Kohuke TERE vanilli multipakk, 7x40g",TERE,,Selver,4740036016410,"Kohuke vanilli multipakk 7x40g, TERE, 280 g",TERE AS,,strong,1.0
Barbora,000000000000025057,Apelsinimahl AURA 1L,AURA,,Selver,4740051004270,Aura apelsinimahl 1L,Aura,,strong,1.0
Barbora,https-barbora-ee-toode-taispiim-farmi-3-8-4-2-proc-1-l,"Täispiim FARMI 3,6-4,2%, 1L",FARMI,,Selver,4740113090555,"Farmi täispiim 3,6%-4,2%, 1l",Farmi,1 l,strong,1.0
Barbora,https-barbora-ee-toode-kaerajook-yook-barista-extra-creamy-1-l,Kaerajook YOOK Barista extra creamy 1l,,,Selver,4745010449109,Yook Barista Extra Creamy Kaerajook 1L,Yook Barista,1 L,strong,1.0
Barbora,https-barbora-ee-toode-hele-ciabatta-eesti-pagar-300-g,Hele Ciabatta EESTI PAGAR 300g,EESTI PAGAR,,Selver,4740086020795,"Eesti Pagar Ciabatta hele, 300g",Eesti Pagar,,strong,1.0
Barbora,https-barbora-ee-toode-miniviiner-ehe-rannarootsi-200-g,"Miniviiner Ehe RANNAROOTSI, 200g",RANNAROOTSI,,Selver,4740296012443,Rannarootsi Ehe Miniviiner 200G,Rannarootsi Ehe,200 g,strong,1.0
Barbora,https-barbora-ee-toode-krevetid-soolvees-vici-100-200-g,"Krevetid soolvees VICI, 100/200g",VICI,,Selver,4770190036016,Vici Krevetid Soolvees 100/200G,Vici Krevetid,200 g,strong,1.0
Barbora,000000000000743126,"Nuikapsas, kg",,,Selver,2700052000000,"Nuikapsas, kg",Määramata,,strong,1.0
Barbora,https-barbora-ee-toode-kaera-ouna-pannkoogid-mamma-200-g,"Kaera-õuna pannkoogid MAMMA, 200g",MAMMA,,Selver,4740184600561,Mamma Kaera-Õuna Pannkoogid 200G,Mamma Kaera-Õuna,200 g,strong,1.0
